"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "JavaScript JSX", "Markdown", "PostCSS", "JSON", "Properties", "Gradle", "Batch", "YAML", "Java", "XML", "comment", "blank", "total"
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values-night\bools.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values\bools.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 40
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 1, 8, 86
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 5, 8, 56
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\xml\where_i_parked_widget_info.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\bemat\src\DrivingTracking\android\app\src\test\java\com\drivesense\app\DriveSenseAutoTrackingServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488, 0, 0, 66, 554
